date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week,regime,recent_volatility,momentum_4w,momentum_12w,gas_price_volatility,cop_urgency
2023-04-16,89.86,-4.515991924343854,2.09,2.14,18.405999755859376,423.5,0.127671647437122,228,0,2,5.916621196784932,5.2224824355971755,3.358638141246839,9.543715595701828,0.0
2023-04-23,87.65,-2.4593812597373588,2.21,2.09,16.836000061035158,424.08,0.1369539551357768,221,0,2,5.81869852304245,-4.4686648501362285,-3.575357535753576,4.908757355315614,0.0
2023-04-30,84.96,-3.069024529378217,2.2,2.21,17.460000038146973,423.98,-0.0235804565176356,214,0,2,5.879849313649724,-12.186046511627913,-6.0592658115877995,4.407376766390848,0.0
2023-05-07,88.93,4.67278719397366,2.03,2.2,17.89600028991699,424.29,0.0731166564460483,207,0,2,5.9757239243303815,-5.504197216023798,-4.714454087645981,5.557025549754131,0.0
2023-05-14,89.43,0.5622399640166531,2.1,2.03,17.118000030517578,423.39,-0.2121190695043573,200,0,2,5.955243570719367,-0.4785221455597566,-5.65460491613039,5.902464969481485,0.0
2023-05-21,83.13,-7.044615900704477,2.29,2.1,16.96800003051758,423.94,0.1299038711353617,193,0,2,6.067229463136323,-5.156873930405026,-6.878010529853251,7.047653382039508,0.0
2023-05-28,78.52,-5.545531095873935,2.17,2.29,18.572000122070317,424.65,0.1674765296975966,186,0,2,5.525002294162166,-7.580037664783424,-18.909428896003313,7.764547654003887,0.0
2023-06-04,86.14,9.704533876719324,1.93,2.17,16.41249990463257,424.38,-0.0635817732250076,179,0,2,5.4323511354103164,-3.1372989992128675,0.6661213041954106,8.942651507069419,0.0
2023-06-11,91.92,6.7100069654051575,1.99,1.93,14.021999740600586,424.14,-0.0565530892124965,172,0,2,5.7446933230478185,2.7843005702784307,7.634660421545658,8.888431090904577,0.0
2023-06-18,87.55,-4.754134029590951,2.05,1.99,14.307999992370606,423.49,-0.1532512849530709,165,0,2,5.53156905051698,5.316973415132931,-4.57765667574932,6.895592909115438,0.0
